Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Hf3C2H2O2 2.271377974 -1.345951694 0.242879982 6.825 11.2603 13.017 0.178 1.262 1.827 1.3 2.55 2.82 330.4 82.9 59.6 41.4
Sc3C2H2O2 1.588008659 -1.199954296 0.452743884 6.5614 11.2603 13.017 0.189 1.262 1.827 1.36 2.55 2.82 335.0 53.9 59.6 41.4
W3C2H2O2 2.209839639 -0.317344146 0.473692689 7.98 11.2603 13.017 0.816 1.262 1.827 2.36 2.55 2.82 290.6 74.6 59.6 41.4
Mo3H2N2O2 2.463148154 -0.594738539 0.327053005 7.0942 14.5341 13.017 0.749 -0.07 1.827 2.16 3.04 2.82 285.0 70.2 48.8 41.4
Ti3H2N2O2 2.329749567 -1.597694312 0.163032588 6.8282 14.5341 13.017 0.087 -0.07 1.827 1.54 3.04 2.82 298.9 48.9 48.8 41.4
Zr3H2N2O2 2.429485571 -1.645322115 0.315790352 6.6339 14.5341 13.017 0.427 -0.07 1.827 1.33 3.04 2.82 320.40000000000003 79.0 48.8 41.4
Mn3C2F2 6.244289052999999 -0.755419649 0.290092153 7.434 11.2603 17.4228 -0.5 1.262 3.401 1.55 2.55 3.98 293.1 38.9 59.6 36.0
Ta3C2F2 4.424606403 -1.265524269 0.269073077 7.89 11.2603 17.4228 0.323 1.262 3.401 1.5 2.55 3.98 316.7 78.4 59.6 36.0
Y3C2F2 4.46843778 -1.715968012 0.168984853 6.217 11.2603 17.4228 0.308 1.262 3.401 1.22 2.55 3.98 348.9 86.5 59.6 36.0
Mn3C2O2 6.714303957999999 -0.407668344 0.386595308 7.434 11.2603 13.618 -0.5 1.262 1.439 1.55 2.55 3.44 288.2 38.9 59.6 41.4
Ta3C2O2 5.011133502 -1.397317972 0.1173341 7.89 11.2603 13.618 0.323 1.262 1.439 1.5 2.55 3.44 313.09999999999997 78.4 59.6 41.4
Y3C2O2 2.724903409 -1.569476414 0.364325407 6.217 11.2603 13.618 0.308 1.262 1.439 1.22 2.55 3.44 378.3 86.5 59.6 41.4
Mo3F2N2 5.539162781 -0.901248583 0.27769285 7.0942 14.5341 17.4228 0.749 -0.07 3.401 2.16 3.04 3.98 283.1 70.2 48.8 36.0
Ti3F2N2 4.470408025 -2.228438487 0.08813414300000001 6.8282 14.5341 17.4228 0.087 -0.07 3.401 1.54 3.04 3.98 298.3 48.9 48.8 36.0
Zr3F2N2 3.854569041 -2.283108467 0.13372424 6.6339 14.5341 17.4228 0.427 -0.07 3.401 1.33 3.04 3.98 318.5 79.0 48.8 36.0
Nb3N2O2 5.433290198 -1.616996772 0.209659096 6.7588 14.5341 13.618 0.894 -0.07 1.439 1.6 3.04 3.44 306.4 74.7 48.8 41.4
V3N2O2 5.986508388 -1.509284502 0.141477507 6.746 14.5341 13.618 0.526 -0.07 1.439 1.63 3.04 3.44 288.0 44.9 48.8 41.4
Cr4C3H2O2 1.563619794 -0.413045594 0.262213001 6.766 11.2603 13.017 0.6758 1.262 1.827 1.66 2.55 2.82 301.3 42.7 59.6 41.4
Nb4C3H2O2 1.964216946 -0.916306235 0.154598348 6.7588 11.2603 13.017 0.894 1.262 1.827 1.6 2.55 2.82 316.0 74.7 59.6 41.4
V4C3H2O2 1.808413781 -0.799695603 0.147011709 6.746 11.2603 13.017 0.526 1.262 1.827 1.63 2.55 2.82 296.09999999999997 44.9 59.6 41.4
Cr4H2N3O2 1.960124213 -0.7727359779999999 0.106556231 6.766 14.5341 13.017 0.6758 -0.07 1.827 1.66 3.04 2.82 302.59999999999997 42.7 48.8 41.4
Nb4H2N3O2 2.340015836 -1.122681166 0.261396652 6.7588 14.5341 13.017 0.894 -0.07 1.827 1.6 3.04 2.82 320.40000000000003 74.7 48.8 41.4
V4H2N3O2 1.879607244 -1.103983363 0.180354428 6.746 14.5341 13.017 0.526 -0.07 1.827 1.63 3.04 2.82 299.8 44.9 48.8 41.4
Hf3C2 4.328128024 -0.367620157 0.3618767000000001 6.825 11.2603 6.825 0.178 1.262 0.178 1.3 2.55 1.3 329.8 82.9 59.6 82.9
Sc3C2 3.626033808 -0.284050376 0.205291853 6.5614 11.2603 6.5614 0.189 1.262 0.189 1.36 2.55 1.36 337.2 53.9 59.6 53.9
W3C2 4.970470299 0.588552569 0.751129437 7.98 11.2603 7.98 0.816 1.262 0.816 2.36 2.55 2.36 289.29999999999995 74.6 59.6 74.6
Hf3N2 4.463562762 -0.8778091990000001 0.475430254 6.825 14.5341 6.825 0.178 -0.07 0.178 1.3 3.04 1.3 315.0 82.9 48.8 82.9
